Data,ID_Veiculo,KM Percorridos,ValorAbastecimento,ValorManutencao,CustoFixo,CustoTotal
4/2019,4345,522,R$ 41.91,R$ 19.27,R$ 143.44,R$ 204.62
4/2019,4355,872,R$ 781.79,R$ 395.61,"R$ 2,721.28","R$ 3,898.68"
4/2019,4365,588,R$ 597.72,R$ 214.40,"R$ 2,397.85","R$ 3,209.97"
4/2019,4375,386,R$ 71.45,R$ 32.71,R$ 257.50,R$ 361.66
4/2019,4385,1438,R$ 552.67,R$ 240.25,"R$ 1,859.00","R$ 2,651.92"
4/2019,4395,840,"R$ 6,172.25","R$ 3,279.89","R$ 17,631.36","R$ 27,083.50"
4/2019,4405,705,"R$ 2,197.49",R$ 800.45,"R$ 6,312.43","R$ 9,310.37"
4/2019,4415,1612,R$ 922.62,R$ 369.57,"R$ 2,219.19","R$ 3,511.38"
4/2019,4425,501,R$ 67.91,R$ 25.50,R$ 163.91,R$ 257.32
4/2019,4435,1230,R$ 485.08,R$ 228.28,"R$ 1,909.29","R$ 2,622.65"
4/2019,4445,703,"R$ 1,749.82",R$ 732.19,"R$ 4,691.43","R$ 7,173.44"
4/2019,4455,919,R$ 409.82,R$ 167.39,"R$ 1,125.46","R$ 1,702.67"
4/2019,4465,1193,R$ 150.65,R$ 76.92,R$ 543.85,R$ 771.42
4/2019,4475,390,R$ 419.63,R$ 165.63,"R$ 1,204.53","R$ 1,789.79"
4/2019,4485,1090,R$ 817.88,R$ 308.68,"R$ 1,951.48","R$ 3,078.04"
4/2019,4495,556,"R$ 1,157.73",R$ 500.91,"R$ 3,248.57","R$ 4,907.21"
4/2019,4505,941,R$ 203.71,R$ 100.79,R$ 507.49,R$ 811.99
4/2019,4515,1230,R$ 857.52,R$ 325.27,"R$ 3,473.86","R$ 4,656.65"
4/2019,4525,833,"R$ 2,209.77","R$ 1,158.78","R$ 8,327.82","R$ 11,696.37"
4/2019,4535,519,R$ 556.57,R$ 260.72,"R$ 2,438.83","R$ 3,256.12"
4/2019,4545,582,R$ 72.83,R$ 27.35,R$ 192.73,R$ 292.91
4/2019,4555,484,R$ 175.27,R$ 88.30,R$ 525.55,R$ 789.12
4/2019,4565,799,R$ 86.69,R$ 42.31,R$ 341.82,R$ 470.82
4/2019,4575,888,"R$ 2,924.00","R$ 1,357.11","R$ 7,985.67","R$ 12,266.78"
4/2019,4585,664,R$ 83.74,R$ 42.38,R$ 228.15,R$ 354.27
4/2019,4595,256,R$ 249.05,R$ 114.52,"R$ 1,018.84","R$ 1,382.41"
4/2019,4605,1514,"R$ 1,540.65",R$ 718.37,"R$ 4,713.26","R$ 6,972.28"
4/2019,4615,286,R$ 205.29,R$ 98.84,R$ 643.32,R$ 947.45
4/2019,4625,1073,"R$ 1,276.60",R$ 503.88,"R$ 5,174.53","R$ 6,955.01"
4/2019,4635,1097,R$ 440.73,R$ 168.01,"R$ 1,329.92","R$ 1,938.66"
4/2019,4645,200,R$ 17.62,R$ 8.60,R$ 61.47,R$ 87.69
4/2019,4655,878,R$ 278.00,R$ 143.21,"R$ 1,036.28","R$ 1,457.49"
4/2019,4665,829,"R$ 2,088.75",R$ 920.97,"R$ 7,513.77","R$ 10,523.49"
4/2019,4675,984,"R$ 3,432.03","R$ 1,831.82","R$ 8,698.62","R$ 13,962.47"
4/2019,4685,888,R$ 260.32,R$ 123.64,"R$ 1,115.87","R$ 1,499.83"
4/2019,4695,803,"R$ 1,082.18",R$ 555.01,"R$ 3,969.62","R$ 5,606.81"
4/2019,4705,612,R$ 761.99,R$ 287.58,"R$ 2,271.86","R$ 3,321.43"
4/2019,4715,730,"R$ 1,044.75",R$ 382.50,"R$ 2,409.45","R$ 3,836.70"
4/2019,4725,675,R$ 811.91,R$ 389.14,"R$ 2,135.21","R$ 3,336.26"
4/2019,4735,549,"R$ 1,303.91",R$ 548.23,"R$ 3,811.90","R$ 5,664.04"
4/2019,4745,988,R$ 621.51,R$ 323.03,"R$ 1,777.48","R$ 2,722.02"
4/2019,4755,851,R$ 539.51,R$ 234.53,"R$ 1,431.20","R$ 2,205.24"
4/2019,4765,1144,R$ 486.06,R$ 185.29,"R$ 1,900.88","R$ 2,572.23"
4/2019,4775,310,"R$ 1,409.23",R$ 606.84,"R$ 5,506.59","R$ 7,522.66"
4/2019,4785,1260,R$ 606.94,R$ 227.92,"R$ 1,497.15","R$ 2,332.01"
4/2019,4795,641,R$ 872.22,R$ 359.73,"R$ 2,062.03","R$ 3,293.98"
4/2019,4805,1460,"R$ 1,620.05",R$ 772.93,"R$ 5,108.54","R$ 7,501.52"
4/2019,4815,970,R$ 669.51,R$ 351.09,"R$ 2,100.50","R$ 3,121.10"
4/2019,4825,874,"R$ 2,441.84","R$ 1,280.48","R$ 7,098.39","R$ 10,820.71"
4/2019,4835,851,"R$ 1,082.96",R$ 523.81,"R$ 4,719.10","R$ 6,325.87"
4/2019,4845,730,"R$ 3,138.94","R$ 1,202.61","R$ 7,488.30","R$ 11,829.85"
4/2019,4855,706,"R$ 1,449.23",R$ 558.02,"R$ 4,245.88","R$ 6,253.13"
4/2019,4865,817,"R$ 1,090.34",R$ 411.50,"R$ 4,434.28","R$ 5,936.12"
4/2019,4875,861,"R$ 1,877.66",R$ 883.61,"R$ 4,887.67","R$ 7,648.94"
4/2019,4885,849,"R$ 5,571.37","R$ 2,155.91","R$ 18,030.33","R$ 25,757.61"
4/2019,4895,1156,R$ 343.06,R$ 162.19,R$ 998.48,"R$ 1,503.73"
4/2019,4905,606,"R$ 1,884.13",R$ 907.18,"R$ 4,983.92","R$ 7,775.23"
4/2019,4915,547,R$ 168.83,R$ 82.78,R$ 727.42,R$ 979.03
4/2019,4925,860,"R$ 4,721.52","R$ 1,684.88","R$ 18,233.59","R$ 24,639.99"
4/2019,4935,831,R$ 510.65,R$ 250.38,"R$ 2,110.79","R$ 2,871.82"
4/2019,4945,709,"R$ 1,081.98",R$ 545.06,"R$ 4,654.96","R$ 6,282.00"
4/2019,4955,933,R$ 284.97,R$ 143.56,R$ 820.83,"R$ 1,249.36"
4/2019,4965,234,R$ 219.13,R$ 77.39,R$ 494.20,R$ 790.72
4/2019,4975,1176,R$ 351.42,R$ 182.66,"R$ 1,183.21","R$ 1,717.29"
4/2019,4985,801,"R$ 1,485.96",R$ 708.96,"R$ 3,970.59","R$ 6,165.51"
4/2019,4995,1496,"R$ 1,684.73",R$ 796.46,"R$ 7,287.27","R$ 9,768.46"
4/2019,5005,641,"R$ 2,311.66",R$ 894.53,"R$ 5,749.65","R$ 8,955.84"
4/2019,5015,776,R$ 225.41,R$ 113.55,R$ 806.19,"R$ 1,145.15"
4/2019,5025,1835,"R$ 1,312.72",R$ 546.65,"R$ 3,363.58","R$ 5,222.95"
4/2019,5035,1896,"R$ 2,394.18","R$ 1,006.64","R$ 8,366.74","R$ 11,767.56"
4/2019,5045,917,R$ 683.65,R$ 355.33,"R$ 3,083.96","R$ 4,122.94"
4/2019,5055,369,"R$ 1,164.95",R$ 563.46,"R$ 4,170.60","R$ 5,899.01"
4/2019,5065,1385,R$ 241.28,R$ 102.92,R$ 880.71,"R$ 1,224.91"
4/2019,5075,337,"R$ 1,237.01",R$ 490.66,"R$ 3,555.72","R$ 5,283.39"
4/2019,5085,1141,R$ 454.17,R$ 230.86,"R$ 1,701.83","R$ 2,386.86"
4/2019,5095,500,"R$ 5,048.65","R$ 1,982.89","R$ 12,232.96","R$ 19,264.50"
4/2019,5105,611,R$ 445.61,R$ 233.67,"R$ 1,234.19","R$ 1,913.47"
4/2019,5115,715,R$ 458.78,R$ 226.99,"R$ 1,443.94","R$ 2,129.71"
4/2019,5125,72,R$ 0.01,R$ 0.01,R$ 0.03,R$ 0.05
4/2019,5135,287,R$ 12.89,R$ 4.86,R$ 49.48,R$ 67.23
4/2019,5155,143,R$ 9.48,R$ 3.99,R$ 36.23,R$ 49.69
4/2019,5165,143,R$ 37.08,R$ 13.23,R$ 145.46,R$ 195.77
4/2019,5175,143,R$ 6.73,R$ 2.52,R$ 27.02,R$ 36.27
4/2019,5185,143,R$ 2.41,R$ 0.86,R$ 9.20,R$ 12.46
4/2019,5195,143,R$ 36.28,R$ 14.25,R$ 111.44,R$ 161.98
4/2019,5205,215,R$ 17.67,R$ 7.83,R$ 68.60,R$ 94.10
4/2019,5225,72,R$ 7.30,R$ 3.21,R$ 31.20,R$ 41.71
4/2019,5245,143,R$ 159.18,R$ 72.53,R$ 499.24,R$ 730.95
4/2019,5265,72,R$ 2.84,R$ 1.50,R$ 7.20,R$ 11.53
4/2019,5275,215,R$ 23.03,R$ 12.02,R$ 91.03,R$ 126.07
4/2019,5285,143,R$ 4.76,R$ 2.38,R$ 20.32,R$ 27.46
4/2019,5295,143,R$ 0.59,R$ 0.29,R$ 2.51,R$ 3.39
4/2019,5305,215,R$ 10.57,R$ 5.59,R$ 31.10,R$ 47.26
4/2019,5315,72,R$ 5.90,R$ 2.92,R$ 15.22,R$ 24.05
4/2019,5325,72,R$ 0.12,R$ 0.04,R$ 0.32,R$ 0.48
4/2019,5355,143,R$ 6.06,R$ 2.98,R$ 20.50,R$ 29.54
4/2019,5375,287,R$ 236.97,R$ 114.62,R$ 820.36,"R$ 1,171.94"
4/2019,5385,215,R$ 21.36,R$ 9.37,R$ 61.56,R$ 92.30
4/2019,5395,72,R$ 37.30,R$ 16.37,R$ 109.96,R$ 163.63
4/2019,5415,359,R$ 912.87,R$ 363.87,"R$ 2,950.89","R$ 4,227.64"
4/2019,5425,215,R$ 8.86,R$ 3.83,R$ 30.03,R$ 42.72
4/2019,5435,143,R$ 17.79,R$ 6.82,R$ 49.30,R$ 73.91
4/2019,5445,72,R$ 3.95,R$ 1.99,R$ 16.57,R$ 22.52
4/2019,5455,143,R$ 47.74,R$ 18.11,R$ 179.86,R$ 245.71
4/2019,5465,143,R$ 54.12,R$ 19.41,R$ 195.83,R$ 269.37
4/2019,5475,72,R$ 5.93,R$ 2.69,R$ 14.54,R$ 23.15
4/2019,5485,72,R$ 1.88,R$ 0.84,R$ 5.96,R$ 8.68
4/2019,5495,72,R$ 6.23,R$ 3.16,R$ 21.81,R$ 31.20
4/2019,5515,215,R$ 21.82,R$ 11.54,R$ 92.06,R$ 125.42
4/2019,5525,72,R$ 6.27,R$ 2.48,R$ 15.76,R$ 24.51
4/2019,5565,72,R$ 816.67,R$ 345.02,"R$ 2,306.04","R$ 3,467.73"
4/2019,5585,72,R$ 4.71,R$ 2.06,R$ 11.23,R$ 18.00
4/2019,5605,143,R$ 5.92,R$ 2.33,R$ 23.85,R$ 32.10
4/2019,5615,72,R$ 5.42,R$ 2.36,R$ 14.45,R$ 22.24
4/2019,5635,72,R$ 7.18,R$ 3.25,R$ 18.39,R$ 28.82
4/2019,5655,215,R$ 25.92,R$ 11.64,R$ 82.44,R$ 120.00
4/2019,5665,72,R$ 10.74,R$ 4.56,R$ 29.57,R$ 44.86
4/2019,5675,143,R$ 14.19,R$ 6.93,R$ 37.06,R$ 58.18
4/2019,5695,143,R$ 3.65,R$ 1.49,R$ 13.68,R$ 18.81
4/2019,5705,215,R$ 67.65,R$ 31.98,R$ 205.05,R$ 304.67
4/2019,5715,72,R$ 3.36,R$ 1.35,R$ 13.49,R$ 18.21
4/2019,5725,72,R$ 0.07,R$ 0.03,R$ 0.22,R$ 0.33
4/2019,5735,215,R$ 65.75,R$ 23.46,R$ 231.70,R$ 320.92
4/2019,5765,215,R$ 8.33,R$ 3.15,R$ 19.21,R$ 30.69
4/2019,5775,72,R$ 4.90,R$ 2.60,R$ 17.27,R$ 24.77
4/2019,5785,72,R$ 0.61,R$ 0.25,R$ 2.14,R$ 3.00
4/2019,5795,72,R$ 8.17,R$ 3.32,R$ 28.12,R$ 39.61
4/2019,5835,143,R$ 74.90,R$ 30.59,R$ 181.17,R$ 286.66
4/2019,5845,72,R$ 18.61,R$ 7.49,R$ 48.05,R$ 74.15
4/2019,5865,143,R$ 4.52,R$ 1.87,R$ 18.29,R$ 24.69
4/2019,5875,72,R$ 13.26,R$ 6.86,R$ 43.54,R$ 63.66
4/2019,5885,215,R$ 195.12,R$ 96.98,R$ 542.47,R$ 834.57
4/2019,5905,72,R$ 473.33,R$ 203.82,"R$ 1,374.84","R$ 2,051.99"
4/2019,5915,72,R$ 0.90,R$ 0.44,R$ 3.68,R$ 5.02
4/2019,5935,143,R$ 0.13,R$ 0.06,R$ 0.55,R$ 0.74
4/2019,5955,72,R$ 20.93,R$ 11.08,R$ 64.99,R$ 97.00
4/2019,5965,72,R$ 63.51,R$ 24.21,R$ 243.30,R$ 331.02
4/2019,5975,215,R$ 9.55,R$ 3.69,R$ 38.08,R$ 51.32
4/2019,5985,215,R$ 17.80,R$ 7.48,R$ 72.70,R$ 97.98
4/2019,6015,72,R$ 2.67,R$ 1.03,R$ 8.12,R$ 11.82
4/2019,6025,72,R$ 43.73,R$ 18.39,R$ 138.92,R$ 201.04
4/2019,6045,72,R$ 69.37,R$ 30.30,R$ 256.29,R$ 355.96
4/2019,6055,72,R$ 0.01,R$ 0.00,R$ 0.03,R$ 0.04
4/2019,6065,143,R$ 5.24,R$ 2.59,R$ 14.94,R$ 22.77
4/2019,6075,367,R$ 606.84,R$ 301.60,"R$ 1,912.80","R$ 2,821.24"
4/2019,6095,261,R$ 104.28,R$ 49.30,R$ 303.50,R$ 457.08
4/2019,6105,143,R$ 119.71,R$ 64.17,R$ 531.59,R$ 715.47
4/2019,6115,621,R$ 458.45,R$ 201.18,"R$ 1,118.35","R$ 1,777.98"
4/2019,6125,331,R$ 362.24,R$ 187.45,"R$ 1,564.52","R$ 2,114.21"
4/2019,6135,197,R$ 102.61,R$ 49.63,R$ 326.50,R$ 478.75
4/2019,6145,287,"R$ 2,948.65","R$ 1,306.25","R$ 11,923.43","R$ 16,178.33"
4/2019,6155,118,R$ 40.94,R$ 15.45,R$ 108.52,R$ 164.91
4/2019,6165,576,R$ 622.08,R$ 234.78,"R$ 2,037.95","R$ 2,894.81"
4/2019,6175,456,R$ 46.23,R$ 21.76,R$ 184.73,R$ 252.72
4/2019,6185,235,R$ 240.92,R$ 124.66,R$ 825.24,"R$ 1,190.83"
4/2019,6195,301,"R$ 2,671.66","R$ 1,205.94","R$ 7,801.90","R$ 11,679.49"
4/2019,6205,215,R$ 71.26,R$ 29.10,R$ 210.34,R$ 310.70
4/2019,6215,287,R$ 673.19,R$ 273.64,"R$ 2,340.75","R$ 3,287.57"
4/2019,6225,761,"R$ 1,481.63",R$ 783.86,"R$ 4,062.69","R$ 6,328.18"
4/2019,6235,705,R$ 219.43,R$ 81.57,R$ 785.63,"R$ 1,086.64"
4/2019,6245,260,R$ 102.79,R$ 36.49,R$ 344.29,R$ 483.56
4/2019,6255,441,R$ 474.62,R$ 196.70,"R$ 1,536.95","R$ 2,208.26"
4/2019,6265,143,R$ 74.40,R$ 29.95,R$ 174.64,R$ 278.99
4/2019,6275,313,R$ 391.29,R$ 172.53,"R$ 1,220.44","R$ 1,784.27"
4/2019,6285,287,R$ 377.18,R$ 154.05,R$ 982.24,"R$ 1,513.47"
4/2019,6295,514,"R$ 6,001.70","R$ 2,463.32","R$ 17,109.07","R$ 25,574.09"
4/2019,6305,441,R$ 374.70,R$ 198.24,"R$ 1,005.38","R$ 1,578.32"
4/2019,6315,390,"R$ 2,262.48","R$ 1,212.91","R$ 6,020.22","R$ 9,495.62"
4/2019,6325,324,"R$ 1,283.63",R$ 606.84,"R$ 4,073.17","R$ 5,963.63"
4/2019,6335,324,"R$ 2,729.78","R$ 1,114.97","R$ 7,948.95","R$ 11,793.70"
4/2019,6345,229,R$ 208.96,R$ 107.16,R$ 552.35,R$ 868.47
4/2019,6355,72,R$ 46.38,R$ 16.46,R$ 113.67,R$ 176.51
4/2019,6365,442,R$ 231.66,R$ 90.54,R$ 755.37,"R$ 1,077.57"
4/2019,6375,170,R$ 206.27,R$ 75.14,R$ 614.82,R$ 896.23
4/2019,6385,453,R$ 278.56,R$ 123.98,R$ 795.51,"R$ 1,198.05"
4/2019,6395,287,R$ 26.90,R$ 12.26,R$ 99.68,R$ 138.84
4/2019,6405,468,R$ 170.65,R$ 87.91,R$ 453.72,R$ 712.28
4/2019,6415,324,R$ 726.80,R$ 332.67,"R$ 2,151.06","R$ 3,210.53"
4/2019,6425,297,"R$ 1,770.72",R$ 631.89,"R$ 6,909.84","R$ 9,312.45"
4/2019,6435,397,R$ 265.29,R$ 100.63,R$ 682.56,"R$ 1,048.49"
4/2019,6445,115,R$ 341.43,R$ 176.67,"R$ 1,208.91","R$ 1,727.02"
4/2019,6455,72,R$ 80.80,R$ 37.85,R$ 271.66,R$ 390.31
4/2019,6465,204,R$ 187.10,R$ 98.99,R$ 528.97,R$ 815.06
4/2019,6475,320,R$ 76.57,R$ 29.04,R$ 223.38,R$ 328.99
4/2019,6485,368,R$ 130.87,R$ 48.64,R$ 376.25,R$ 555.76
4/2019,6495,143,R$ 67.21,R$ 34.16,R$ 249.39,R$ 350.76
4/2019,6505,196,R$ 130.42,R$ 49.71,R$ 391.71,R$ 571.84
4/2019,6515,475,R$ 876.73,R$ 381.13,"R$ 3,283.17","R$ 4,541.03"
4/2019,6525,478,R$ 267.12,R$ 126.87,R$ 789.15,"R$ 1,183.14"
4/2019,6535,215,R$ 471.77,R$ 178.95,"R$ 1,219.17","R$ 1,869.88"
4/2019,6545,143,R$ 39.41,R$ 14.80,R$ 116.26,R$ 170.47
4/2019,6555,86,"R$ 1,666.39",R$ 839.46,"R$ 4,613.05","R$ 7,118.91"
4/2019,6565,565,R$ 929.45,R$ 483.09,"R$ 3,129.40","R$ 4,541.95"
4/2019,6575,263,"R$ 4,980.68","R$ 2,509.06","R$ 19,945.18","R$ 27,434.92"
4/2019,6585,72,R$ 121.87,R$ 49.30,R$ 324.96,R$ 496.13
4/2019,6595,181,R$ 103.54,R$ 43.74,R$ 259.56,R$ 406.84
4/2019,6605,556,"R$ 1,131.87",R$ 606.79,"R$ 3,145.21","R$ 4,883.87"
4/2019,6615,122,R$ 543.05,R$ 239.45,"R$ 1,943.96","R$ 2,726.45"
4/2019,6625,72,R$ 765.34,R$ 284.51,"R$ 2,926.83","R$ 3,976.67"
4/2019,6635,369,R$ 697.82,R$ 280.90,"R$ 2,079.79","R$ 3,058.51"
4/2019,6645,181,R$ 114.41,R$ 52.61,R$ 348.48,R$ 515.51
4/2019,6665,405,"R$ 1,068.60",R$ 535.91,"R$ 2,697.14","R$ 4,301.65"
4/2019,6675,465,R$ 746.50,R$ 344.87,"R$ 2,215.82","R$ 3,307.19"
4/2019,6685,143,R$ 41.17,R$ 17.65,R$ 117.27,R$ 176.08
4/2019,6695,215,R$ 157.06,R$ 61.68,R$ 409.83,R$ 628.56
4/2019,6705,121,R$ 71.69,R$ 28.57,R$ 172.91,R$ 273.17
4/2019,6715,276,R$ 228.99,R$ 104.82,R$ 884.45,"R$ 1,218.26"
4/2019,6725,143,R$ 18.88,R$ 9.94,R$ 60.42,R$ 89.24
4/2019,6735,143,R$ 7.74,R$ 3.26,R$ 22.13,R$ 33.13
4/2019,6745,72,R$ 0.34,R$ 0.17,R$ 0.93,R$ 1.44
4/2019,6755,215,R$ 52.93,R$ 28.38,R$ 143.92,R$ 225.23
4/2019,6765,143,R$ 194.71,R$ 85.45,R$ 713.30,R$ 993.46
4/2019,6775,215,R$ 38.37,R$ 16.06,R$ 118.92,R$ 173.35
4/2019,6785,215,R$ 179.63,R$ 85.70,R$ 563.84,R$ 829.17
4/2019,6795,72,R$ 45.94,R$ 19.78,R$ 113.36,R$ 179.08
4/2019,6805,143,R$ 52.55,R$ 21.46,R$ 174.35,R$ 248.36
4/2019,6815,72,R$ 23.86,R$ 8.96,R$ 54.70,R$ 87.52
4/2019,6825,143,R$ 17.62,R$ 8.44,R$ 62.28,R$ 88.34
4/2019,6835,72,R$ 14.16,R$ 7.16,R$ 47.47,R$ 68.79
4/2019,6845,143,R$ 181.29,R$ 67.39,R$ 668.95,R$ 917.63
4/2019,6855,215,R$ 47.69,R$ 19.20,R$ 146.14,R$ 213.03
4/2019,6865,215,R$ 179.49,R$ 90.82,R$ 661.80,R$ 932.11
4/2019,6875,143,R$ 932.39,R$ 438.77,"R$ 3,651.42","R$ 5,022.58"
4/2019,6885,72,R$ 0.96,R$ 0.37,R$ 2.81,R$ 4.14
4/2019,6895,72,R$ 13.73,R$ 5.23,R$ 33.27,R$ 52.23
4/2019,6905,287,R$ 55.84,R$ 23.59,R$ 140.60,R$ 220.03
4/2019,6915,72,R$ 134.89,R$ 70.74,R$ 344.17,R$ 549.80
4/2019,6925,215,R$ 176.89,R$ 83.63,R$ 436.05,R$ 696.57
4/2019,6935,143,R$ 25.10,R$ 10.25,R$ 65.07,R$ 100.42
4/2019,6945,143,R$ 65.63,R$ 23.18,R$ 191.35,R$ 280.16
4/2019,6955,215,R$ 205.20,R$ 73.60,R$ 742.44,"R$ 1,021.24"
4/2019,6965,287,R$ 168.97,R$ 78.79,R$ 603.64,R$ 851.40
4/2019,6975,143,R$ 285.25,R$ 132.39,R$ 785.94,"R$ 1,203.58"
4/2019,6985,215,R$ 552.36,R$ 198.13,"R$ 2,227.64","R$ 2,978.13"
4/2019,6995,143,"R$ 3,133.29","R$ 1,224.55","R$ 10,168.29","R$ 14,526.13"
4/2019,7005,143,R$ 3.36,R$ 1.55,R$ 13.54,R$ 18.45
4/2019,7015,143,R$ 416.11,R$ 194.92,"R$ 1,196.74","R$ 1,807.77"
4/2019,7025,143,R$ 52.11,R$ 27.09,R$ 207.76,R$ 286.96
4/2019,7035,143,R$ 48.73,R$ 25.55,R$ 163.80,R$ 238.08
4/2019,7045,72,R$ 1.12,R$ 0.47,R$ 4.47,R$ 6.06
4/2019,7055,287,R$ 851.91,R$ 431.09,"R$ 3,504.30","R$ 4,787.30"
4/2019,7065,359,R$ 308.13,R$ 149.72,"R$ 1,126.41","R$ 1,584.26"
4/2019,7085,143,R$ 58.57,R$ 28.72,R$ 157.21,R$ 244.50
4/2019,7095,143,R$ 88.25,R$ 32.97,R$ 202.89,R$ 324.11
4/2019,7105,72,R$ 36.83,R$ 13.42,R$ 113.43,R$ 163.68
4/2019,7115,72,R$ 1.25,R$ 0.47,R$ 3.82,R$ 5.54
4/2019,7125,143,"R$ 1,811.86",R$ 653.26,"R$ 4,420.69","R$ 6,885.81"
4/2019,7135,287,"R$ 2,041.99",R$ 913.13,"R$ 6,054.40","R$ 9,009.52"
4/2019,7145,72,R$ 20.73,R$ 10.30,R$ 65.04,R$ 96.07
4/2019,7155,215,R$ 52.49,R$ 19.02,R$ 136.96,R$ 208.47
4/2019,7165,143,R$ 121.36,R$ 45.11,R$ 445.57,R$ 612.04
4/2019,7175,215,R$ 89.68,R$ 41.81,R$ 234.78,R$ 366.27
4/2019,7185,143,R$ 86.79,R$ 42.56,R$ 225.02,R$ 354.37
4/2019,7195,143,R$ 44.59,R$ 22.66,R$ 181.82,R$ 249.07
4/2019,7205,143,R$ 95.31,R$ 34.36,R$ 363.39,R$ 493.06
4/2019,7215,143,R$ 80.59,R$ 35.20,R$ 326.16,R$ 441.95
5/2019,2025,688,"R$ 2,127.01","R$ 1,110.45","R$ 6,911.32","R$ 10,148.78"
5/2019,2035,448,R$ 195.00,R$ 73.23,R$ 614.10,R$ 882.33
5/2019,2045,410,"R$ 1,695.14",R$ 819.91,"R$ 4,589.61","R$ 7,104.66"
5/2019,2055,827,R$ 239.55,R$ 90.86,R$ 935.53,"R$ 1,265.94"
5/2019,2065,1344,"R$ 1,295.20",R$ 670.20,"R$ 3,570.93","R$ 5,536.33"
5/2019,2075,387,R$ 63.29,R$ 30.05,R$ 249.83,R$ 343.16
5/2019,2085,993,R$ 485.99,R$ 189.94,"R$ 1,577.18","R$ 2,253.11"
5/2019,2095,352,"R$ 3,494.28","R$ 1,682.43","R$ 10,322.42","R$ 15,499.13"
5/2019,2105,801,R$ 260.27,R$ 135.27,"R$ 1,064.00","R$ 1,459.53"
5/2019,2115,620,R$ 183.01,R$ 67.01,R$ 564.37,R$ 814.38
5/2019,2125,623,R$ 895.79,R$ 369.45,"R$ 3,775.55","R$ 5,040.80"
5/2019,2135,923,"R$ 1,279.54",R$ 451.91,"R$ 3,078.12","R$ 4,809.56"
5/2019,2145,572,"R$ 3,781.80","R$ 1,804.32","R$ 12,491.94","R$ 18,078.06"
5/2019,2155,295,"R$ 1,282.25",R$ 539.13,"R$ 3,009.87","R$ 4,831.25"
5/2019,2165,388,"R$ 2,708.36",R$ 981.50,"R$ 9,077.82","R$ 12,767.68"
5/2019,2175,1037,"R$ 1,207.25",R$ 495.50,"R$ 4,444.34","R$ 6,147.08"
5/2019,2185,353,R$ 90.29,R$ 35.12,R$ 264.05,R$ 389.45
5/2019,2195,446,R$ 310.64,R$ 142.85,"R$ 1,126.59","R$ 1,580.07"
5/2019,2205,595,"R$ 1,700.71",R$ 711.65,"R$ 5,033.18","R$ 7,445.54"
5/2019,2215,987,R$ 213.97,R$ 98.39,R$ 715.13,"R$ 1,027.49"
5/2019,2225,714,"R$ 3,510.20","R$ 1,736.74","R$ 11,252.87","R$ 16,499.80"
5/2019,2235,348,R$ 368.28,R$ 165.46,R$ 953.00,"R$ 1,486.74"
5/2019,2245,473,R$ 395.45,R$ 178.50,"R$ 1,332.87","R$ 1,906.82"
5/2019,2255,874,R$ 315.65,R$ 130.81,"R$ 1,225.67","R$ 1,672.12"
5/2019,2265,628,R$ 140.68,R$ 65.60,R$ 368.30,R$ 574.57
5/2019,2275,553,R$ 129.35,R$ 48.08,R$ 426.08,R$ 603.50
5/2019,2285,559,R$ 447.04,R$ 235.46,"R$ 1,137.50","R$ 1,820.00"
5/2019,2295,416,R$ 115.61,R$ 51.70,R$ 399.85,R$ 567.16
5/2019,2305,420,R$ 224.17,R$ 86.75,R$ 849.20,"R$ 1,160.12"
5/2019,2315,371,R$ 83.10,R$ 35.28,R$ 255.06,R$ 373.44
5/2019,2325,208,R$ 449.75,R$ 207.78,"R$ 1,777.79","R$ 2,435.32"
5/2019,2335,853,R$ 524.22,R$ 237.73,"R$ 1,695.95","R$ 2,457.90"
5/2019,2345,880,R$ 839.45,R$ 375.38,"R$ 2,246.21","R$ 3,461.04"
5/2019,2355,405,R$ 81.74,R$ 34.04,R$ 226.76,R$ 342.53
5/2019,2365,837,"R$ 1,301.03",R$ 473.91,"R$ 2,996.40","R$ 4,771.34"
5/2019,2375,358,R$ 11.17,R$ 4.72,R$ 46.89,R$ 62.78
5/2019,2385,108,R$ 360.49,R$ 164.24,R$ 867.14,"R$ 1,391.87"
5/2019,2395,692,"R$ 2,709.74","R$ 1,128.41","R$ 6,912.96","R$ 10,751.11"
5/2019,2405,583,R$ 988.37,R$ 384.37,"R$ 2,549.39","R$ 3,922.13"
5/2019,2415,678,R$ 463.79,R$ 219.26,"R$ 1,133.57","R$ 1,816.63"
5/2019,2425,266,R$ 129.93,R$ 55.69,R$ 358.71,R$ 544.33
5/2019,2435,475,R$ 92.53,R$ 48.74,R$ 378.10,R$ 519.36
5/2019,2445,439,R$ 758.73,R$ 287.79,"R$ 1,952.12","R$ 2,998.64"
5/2019,2455,598,R$ 814.52,R$ 334.31,"R$ 2,060.17","R$ 3,208.99"
5/2019,2465,1055,"R$ 3,106.07","R$ 1,665.17","R$ 11,457.47","R$ 16,228.70"
5/2019,2475,702,R$ 658.19,R$ 287.49,"R$ 2,419.73","R$ 3,365.42"
5/2019,2485,793,"R$ 3,034.61","R$ 1,584.28","R$ 8,035.61","R$ 12,654.50"
5/2019,2495,102,R$ 168.99,R$ 80.99,R$ 742.00,R$ 991.98
5/2019,2505,831,R$ 289.71,R$ 106.61,R$ 994.28,"R$ 1,390.61"
